#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 428 MOVAPS                       638                0
 430 MOVD                          71                0
 435 MOVDQA                       359                0
 436 MOVDQU                       318                0
 439 MOVHPS                        42                0
 443 MOVMSKPD                       5                0
 444 MOVMSKPS                       3                0
 445 MOVNTDQ                        8                0
 453 MOVQ                          67                0
 455 MOVSB                          2                0
 457 MOVSD_XMM                     59                0
 461 MOVSS                         23                0
 463 MOVSX                        508                0
 464 MOVSXD                      1120                0
 466 MOVUPS                       549                0
 467 MOVZX                       3028                0
 471 MUL                          137                0
 474 MULSD                         11                0
 475 MULSS                         11                0
 479 NEG                          644                0
 481 NOP                         8559                0
 490 NOT                          130                0
 492 OR                          1518                0
 493 ORPD                           1                0
 494 ORPS                           1                0
 495 OR_LOCK                       13                0
 507 PADDB                          1                0
 508 PADDD                         18                0
 509 PADDQ                         13                0
 516 PAND                          11                0
 518 PAUSE                          9                0
 525 PCMPEQB                        1                0
 526 PCMPEQD                       90                0
 534 PCMPGTD                        1                0
 546 PEXTRW                         3                0
 579 PINSRW                         1                0
 594 PMOVMSKB                      45                0
 615 POP                         6580                0
 622 POR                            8                0
 624 PREFETCHT0                     4                0
 633 PSHUFD                         6                0
 642 PSLLQ                          2                0
 648 PSRLDQ                         1                0
 651 PSUBB                         41                0
 653 PSUBQ                          1                0
 656 PSUBUSB                        1                0
 662 PUNPCKHBW                      1                0
 663 PUNPCKHDQ                      5                0
 665 PUNPCKHWD                      2                0
 666 PUNPCKLBW                      3                0
 667 PUNPCKLDQ                      5                0
 668 PUNPCKLQDQ                     7                0
 669 PUNPCKLWD                      4                0
 670 PUSH                        6404                0
 677 PXOR                         117                0
 685 RDPID                          1                0
 686 RDPKRU                         2                0
 693 RDTSC                         25                0
 739 RET_NEAR                    3631                0
 742 ROL                          240                0
 743 ROR                          269                0
 755 SAR                          403                0
 758 SBB                          275                0
 768 SETB                          18                0
 769 SETBE                         21                0
 770 SETL                           9                0
 771 SETLE                         12                0
 772 SETNB                         67                0
 773 SETNBE                        92                0
 774 SETNL                         13                0
 775 SETNLE                        43                0
 779 SETNZ                        247                0
 780 SETO                           5                0
 781 SETP                           5                0
 784 SETZ                         492                0
 785 SFENCE                         2                0
 794 SHL                          630                0
 797 SHR                          954                0
 800 SHUFPD                        50                0
 801 SHUFPS                         2                0
 813 STD                            1                0
 816 STMXCSR                        2                0
 823 SUB                         5535                0
 826 SUBSD                          2                0
 827 SUBSS                          5                0
 828 SUB_LOCK                       3                0
 830 SYSCALL                      574                0
 844 TEST                       10943                0
 854 UCOMISD                       28                0
